Mon,Item,Move 1,Move 2,Move 3,Move 4
Articuno,Icy Rock,Blizzard,Fly,Roost,Hail
Articuno,Wacan Berry,Avalanche,Aerial Ace,Facade,Reflect
Articuno,Wise Glasses,Ice Beam,Signal Beam,Ominous Wind,Water Pulse
Articuno,Charti Berry,Ice Beam,Air Cutter,Ancient Power,Sheer Cold
Zapdos,Yache Berry,Thunder,Drill Peck,Thunder Wave,Rain Dance
Zapdos,Focus Band,Thunderbolt,Ancient Power,Ominous Wind,Light Screen
Zapdos,King's Rock,Drill Peck,Twister,Steel Wing,U-turn
Zapdos,Bright Powder,Thunderbolt,Air Cutter,Heat Wave,Signal Beam
Moltres,Passho Berry,Flamethrower,Air Slash,Ancient Power,Roost
Moltres,Heat Rock,Fire Blast,Solar Beam,Hyper Beam,Sunny Day
Moltres,Power Herb,Sky Attack,Return,Steel Wing,U-turn
Moltres,White Herb,Overheat,Air Slash,Ancient Power,Ominous Wind
Raikou,Lum Berry,Thunderbolt,Shadow Ball,Thunder Wave,Light Screen
Raikou,King's Rock,Thunder Fang,Crunch,Iron Head,Return
Raikou,Wise Glasses,Thunder,Extrasensory,Signal Beam,Rain Dance
Raikou,Shuca Berry,Thunderbolt,Extrasensory,Shadow Ball,Calm Mind
Entei,Shuca Berry,Fire Fang,Return,Roar,Reflect
Entei,King's Rock,Fire Fang,Bite,Iron Head,Stone Edge
Entei,Shuca Berry,Fire Blast,Solar Beam,Hyper Beam,Sunny Day
Entei,Shuca Berry,Overheat,Extrasensory,Shadow Ball,Calm Mind
Suicune,Focus Sash,Surf,Icy Wind,Ominous Wind,Mirror Coat
Suicune,King's Rock,Waterfall,Ice Fang,Iron Head,Bite
Suicune,Lum Berry,Hydro Pump,Blizzard,Shadow Ball,Hail
Suicune,Wacan Berry,Surf,Ice Beam,Extrasensory,Calm Mind
Regirock,Leftovers,Rock Slide,Earthquake,Brick Break,Sandstorm
Regirock,Razor Claw,Fire Punch,Thunder Punch,Ice Punch,Drain Punch
Regirock,Chesto Berry,Stone Edge,Hammer Arm,Rest,Curse
Regirock,Quick Claw,Stone Edge,Earthquake,Hammer Arm,Explosion
Regice,Lum Berry,Ice Beam,Signal Beam,Charge Beam,Amnesia
Regice,Leftovers,Avalanche,Hammer Arm,Double Team,Curse
Regice,Chesto Berry,Ice Beam,Flash Cannon,Ancient Power,Rest
Regice,Shell Bell,Ice Beam,Thunderbolt,Hyper Beam,Focus Blast
Registeel,Lum Berry,Flash Cannon,Thunderbolt,Thunder Wave,Amnesia
Registeel,Leftovers,Iron Head,Toxic,Double Team,Iron Defense
Registeel,Razor Claw,Shadow Claw,Aerial Ace,Thunder Punch,Ice Punch
Registeel,Shell Bell,Iron Head,Hammer Arm,Earthquake,Curse
Latias,Lum Berry,Psychic,Dragon Pulse,Attract,Calm Mind
Latias,Expert Belt,Dragon Claw,Zen Headbutt,Earthquake,Aerial Ace
Latias,Bright Powder,Psychic,Ice Beam,Energy Ball,Shadow Ball
Latias,White Herb,Mist Ball,Draco Meteor,Thunderbolt,Surf
Latios,Focus Band,Psychic,Dragon Pulse,Thunder Wave,Calm Mind
Latios,Lum Berry,Dragon Claw,Shadow Claw,Earthquake,Dragon Dance
Latios,Bright Powder,Psychic,Thunderbolt,Ice Beam,Energy Ball
Latios,White Herb,Luster Purge,Draco Meteor,Hyper Beam,Surf
Heatran,Shuca Berry,Heat Wave,Flash Cannon,Ancient Power,Scary Face
Heatran,Quick Claw,Iron Head,Earthquake,Stone Edge,Crunch
Heatran,Bright Powder,Flamethrower,Earth Power,Dragon Pulse,Dark Pulse
Heatran,Focus Sash,Magma Storm,Flash Cannon,Earth Power,Explosion
Regigigas,Lax Incense,Return,Aerial Ace,Thunder Wave,Confuse Ray
Regigigas,Leftovers,Facade,Zen Headbutt,Double Team,Substitute
Regigigas,Wise Glasses,Earth Power,Focus Blast,Thunderbolt,Ancient Power
Regigigas,Bright Powder,Crush Grip,Earthquake,Stone Edge,Drain Punch
Cresselia,Heat Rock,Psychic,Solar Beam,Moonlight,Sunny Day
Cresselia,Lum Berry,Psychic,Toxic,Double Team,Moonlight
Cresselia,Wise Glasses,Psychic,Shadow Ball,Energy Ball,Charge Beam
Cresselia,Leftovers,Psychic,Ice Beam,Signal Beam,Moonlight
