Mon,Item,Move 1,Move 2,Move 3,Move 4
Bulbasaur,Bright Powder,Magical Leaf,Toxic,Leech Seed,Sweet Scent
Charmander,Scope Lens,Fire Fang,Metal Claw,SmokeScreen,Scary Face
Squirtle,Sea Incense,Aqua Jet,Bite,Withdraw,Protect
Butterfree,Pecha Berry,Silver Wind,Air Cutter,Psybeam,Tailwind
Beedrill,Scope Lens,Twineedle,Toxic,Assurance,Agility
Pidgeotto,Rawst Berry,Wing Attack,Quick Attack,Feather Dance,Mirror Move
Pikachu,Sitrus Berry,Thunder Shock,Swift,Thunder Wave,Double Team
Sandshrew,Soft Sand,Dig,Rock Tomb,Sandstorm,Sand Attack
Nidorina,Poison Barb,Poison Fang,Double Kick,Bite,Flatter
Nidorino,Focus Band,Toxic,Double Kick,Facade,Flatter
Clefairy,Bright Powder,Wake-Up Slap,Follow Me,Encore,Sing
Vulpix,Bright Powder,Ember,Swift,Will-O-Wisp,Confuse Ray
Oddish,Rose Incense,Mega Drain,Acid,Sweet Scent,Moonlight
Gloom,Miracle Seed,Mega Drain,Acid,Stun Spore,Moonlight
Parasect,Aspear Berry,Bug Bite,Grass Knot,Scratch,Stun Spore
Venonat,SilverPowder,Bug Bite,Poison Powder,Psybeam,Supersonic
Psyduck,Chesto Berry,Water Gun,Confusion,Water Sport,Disable
Growlithe,Charcoal,Fire Fang,Bite,Roar,Agility
Poliwhirl,Liechi Berry,Bubble Beam,Double Slap,Mist,Rain Dance
Machop,Scope Lens,Karate Chop,Rock Tomb,Foresight,Scary Face
Weepinbell,Scope Lens,Razor Leaf,Acid,Wrap,Sweet Scent
Tentacool,Cheri Berry,Bubble Beam,Acid,Supersonic,Barrier
Geodude,Focus Band,Magnitude,Rock Blast,Strength,Protect
Graveler,Focus Band,Magnitude,Rock Tomb,Stealth Rock,Defense Curl
Ponyta,Chesto Berry,Flame Wheel,Stomp,Will-O-Wisp,Tail Whip
Slowpoke,Cheri Berry,Water Pulse,Confusion,Disable,Yawn
Magnemite,Rawst Berry,Shock Wave,Mirror Shot,Metal Sound,Reflect
Farfetch'd,Stick,Slash,Air Cutter,Knock Off,Swords Dance
Doduo,Liechi Berry,Aerial Ace,Quick Attack,Feint Attack,Acupressure
Seel,Aspear Berry,Aqua Jet,Ice Shard,Fake Out,Encore
Grimer,Black Sludge,Toxic,Shadow Sneak,Acid Armor,Minimize
Haunter,Persim Berry,Night Shade,Toxic,Confuse Ray,Grudge
Onix,Hard Stone,Rock Slide,Dig,Screech,Sandstorm
Drowzee,Rawst Berry,Psybeam,Assist,Disable,Barrier
Krabby,Pecha Berry,Bubble Beam,Vice Grip,Leer,Protect
Voltorb,Petaya Berry,Shock Wave,Swift,Thunder Wave,Light Screen
Exeggcute,Odd Incense,Confusion,Grass Knot,Leech Seed,Light Screen
Cubone,Soft Sand,Bone Club,Headbutt,Brick Break,Leer
Lickitung,Chesto Berry,Secret Power,Rock Tomb,Lick,Screech
Koffing,Poison Barb,Sludge,Psybeam,SmokeScreen,Spite
Rhyhorn,Persim Berry,Dig,Rock Blast,Scary Face,Tail Whip
Goldeen,Petaya Berry,Water Pulse,Psybeam,Supersonic,Rain Dance
Staryu,Cheri Berry,Bubble Beam,Twister,Swift,Light Screen
Eevee,Salac Berry,Take Down,Bite,Flail,Endure
Porygon,Persim Berry,Swift,Psybeam,Icy Wind,Recycle
Omanyte,Pecha Berry,Ancient Power,Water Gun,Mud Shot,Protect
Kabuto,Liechi Berry,Aqua Jet,Rock Tomb,Knock Off,Metal Sound
Dratini,Cheri Berry,Twister,Water Pulse,Thunder Wave,Supersonic
Chikorita,Lax Incense,Bullet Seed,Secret Power,Growl,Light Screen
Cyndaquil,Quick Claw,Flame Wheel,Double Kick,Swift,SmokeScreen
Totodile,Razor Claw,Dive,Slash,Screech,Scary Face
Ledian,Razor Claw,Silver Wind,Air Cutter,Agility,Baton Pass
Ariados,SilverPowder,Bug Bite,Toxic,Shadow Sneak,Spider Web
Chinchou,Magnet,Shock Wave,Bubble Beam,Icy Wind,Thunder Wave
Togetic,Chesto Berry,Air Cutter,Swift,Magical Leaf,Wish
Natu,Twisted Spoon,Night Shade,Air Cutter,Ominous Wind,Future Sight
Flaaffy,Light Clay,Shock Wave,Swift,Thunder Wave,Light Screen
Azumarill,Pecha Berry,Bubble Beam,Rollout,Defense Curl,Tail Whip
Skiploom,Big Root,Mega Drain,Aerial Ace,Confusion,Cotton Spore
Aipom,Silk Scarf,Double Hit,U-turn,Thunder Wave,Fake Out
Yanma,Lax Incense,Silver Wind,Air Cutter,Double Team,Detect
Murkrow,BlackGlasses,Feint Attack,Wing Attack,Torment,Taunt
Wobbuffet,Focus Band,Counter,Mirror Coat,Charm,Splash
Dunsparce,Razor Claw,Headbutt,Bite,Spite,Glare
Snubbull,Razor Claw,Headbutt,Bite,Swagger,Scary Face
Teddiursa,Chesto Berry,Secret Power,Feint Attack,Attract,Rest
Corsola,Focus Band,Bubble Beam,Ancient Power,Mirror Coat,Barrier
Remoraid,Petaya Berry,Bubble Beam,Aurora Beam,Mud-Slap,Supersonic
