Mon,Item,Move 1,Move 2,Move 3,Move 4
Ivysaur,Persim Berry,Petal Dance,Growth,Sweet Scent,Take Down
Ivysaur,Bright Powder,Giga Drain,Sludge Bomb,Sleep Powder,Leech Seed
Charmeleon,Scope Lens,Slash,Fire Spin,Swords Dance,Aerial Ace
Charmeleon,Scope Lens,Flamethrower,Slash,Ancient Power,Dragon Rage
Wartortle,Focus Band,Aqua Tail,Bite,Rapid Spin,Yawn
Wartortle,Shell Bell,Surf,Ice Beam,Rapid Spin,Protect
Pidgeot,Sharp Beak,Aerial Ace,Feather Dance,Sand Attack,Feint Attack
Pidgeot,Scope Lens,Secret Power,Aerial Ace,Steel Wing,U-turn
Raticate,Silk Scarf,Endeavor,Pursuit,Scary Face,Quick Attack
Raticate,Focus Band,Super Fang,Hyper Fang,Shadow Ball,Scary Face
Fearow,Sharp Beak,Drill Peck,Tri Attack,Facade,Roost
Fearow,Focus Band,Drill Peck,Tri Attack,Attract,Pursuit
Arbok,Persim Berry,Poison Fang,Dig,Bite,Glare
Arbok,Lum Berry,Sludge Bomb,Earthquake,Iron Tail,Glare
Sandslash,Sitrus Berry,Crush Claw,Rock Slide,Swift,Sandstorm
Sandslash,Quick Claw,Earthquake,Rock Slide,Crush Claw,Sandstorm
Clefable,Leftovers,Metronome,Double Team,Reflect,Follow Me
Clefable,Focus Band,Meteor Mash,Cosmic Power,Double Team,Follow Me
Wigglytuff,Silk Scarf,Sing,Disable,Wish,Secret Power
Wigglytuff,Sitrus Berry,Fake Tears,Sing,Dream Eater,Brick Break
Golbat,Scope Lens,Air Cutter,Confuse Ray,Toxic,Steel Wing
Golbat,Black Sludge,Poison Fang,Air Slash,Confuse Ray,Roost
Venomoth,Persim Berry,Silver Wind,Psybeam,Sleep Powder,Skill Swap
Venomoth,Lum Berry,Signal Beam,Psychic,Sludge Bomb,Giga Drain
Persian,Silk Scarf,Fake Out,Slash,Torment,Swagger
Persian,Silk Scarf,Frustration,Shadow Ball,Roar,Fake Out
Primeape,Scope Lens,Karate Chop,Counter,Swagger,Screech
Primeape,Expert Belt,Cross Chop,Earthquake,Stone Edge,Aerial Ace
Magneton,Cheri Berry,Shock Wave,Sonic Boom,Thunder Wave,Supersonic
Magneton,Lum Berry,Thunder,Rain Dance,Thunder Wave,Metal Sound
Dodrio,Chesto Berry,Drill Peck,Tri Attack,Sleep Talk,Rest
Dodrio,King's Rock,Drill Peck,Tri Attack,Feint Attack,Protect
Cloyster,Never-Melt Ice,Aurora Beam,Spike Cannon,Supersonic,Protect
Cloyster,Leftovers,Whirlpool,Toxic,Double Team,Protect
Kingler,Scope Lens,Crabhammer,Metal Claw,Mud Shot,Protect
Kingler,Salac Berry,Guillotine,Rock Tomb,Flail,Endure
Hitmonlee,Black Belt,Rolling Kick,Brick Break,Focus Energy,Facade
Hitmonlee,Focus Sash,Close Combat,Blaze Kick,Earthquake,Stone Edge
Hitmonchan,King's Rock,Mach Punch,Sky Uppercut,Detect,Counter
Hitmonchan,King's Rock,Close Combat,Mach Punch,Detect,Counter
Chansey,Sitrus Berry,Metronome,Refresh,Defense Curl,Minimize
Chansey,Lucky Punch,Sing,Egg Bomb,Soft-Boiled,Focus Punch
Tangela,Lax Incense,Mega Drain,Slam,Toxic,Bind
Tangela,Chesto Berry,Giga Drain,Stun Spore,Rest,Amnesia
Seadra,Mystic Water,Aurora Beam,SmokeScreen,Water Gun,Rain Dance
Seadra,Shell Bell,Hydro Pump,Frustration,Dragon Breath,Dragon Dance
Seaking,Sitrus Berry,Water Pulse,Psybeam,Poison Jab,Agility
Seaking,Quick Claw,Megahorn,Poison Jab,Horn Drill,Aqua Ring
Scyther,Liechi Berry,Fury Cutter,Aerial Ace,Light Screen,Double Team
Scyther,Bright Powder,Silver Wind,Aerial Ace,Swords Dance,Double Team
Electabuzz,Cheri Berry,Thunderbolt,Thunder Wave,Brick Break,Light Screen
Electabuzz,Leftovers,Thunder,Rain Dance,Attract,Focus Punch
Magmar,Rawst Berry,Flamethrower,SmokeScreen,Brick Break,Barrier
Magmar,Quick Claw,Fire Blast,SmokeScreen,Thunder Punch,Confuse Ray
Omastar,Shell Bell,Bubble Beam,Spike Cannon,Tickle,Ancient Power
Omastar,Sitrus Berry,Hydro Pump,Rain Dance,Ice Beam,Protect
Kabutops,Scope Lens,Slash,Dig,Night Slash,Metal Sound
