Mon,Item,Move 1,Move 2,Move 3,Move 4
Venusaur,White Herb,Leaf Storm,Sludge Bomb,Amnesia,Sleep Powder
Venusaur,Big Root,Giga Drain,Ingrain,Leech Seed,Sleep Powder
Venusaur,Black Sludge,Seed Bomb,Earthquake,Outrage,Curse
Venusaur,Wise Glasses,Frenzy Plant,Sludge Bomb,Hyper Beam,Synthesis
Charizard,Petaya Berry,Flamethrower,Air Slash,SmokeScreen,Scary Face
Charizard,White Herb,Overheat,Solar Beam,Will-O-Wisp,Sunny Day
Charizard,Scope Lens,Flare Blitz,Earthquake,Crunch,Dragon Claw
Charizard,Bright Powder,Blast Burn,Air Slash,Focus Blast,Ancient Power
Blastoise,Mystic Water,Hydro Pump,Signal Beam,Icy Wind,Mirror Coat
Blastoise,Shell Bell,Waterfall,Focus Punch,Double Team,Aqua Ring
Blastoise,Life Orb,Aqua Tail,Earthquake,Avalanche,Zen Headbutt
Blastoise,Shell Bell,Hydro Cannon,Ice Beam,Hyper Beam,Focus Blast
Raichu,Wide Lens,Thunder Punch,Iron Tail,Slam,Quick Attack
Raichu,Focus Band,Thunder Punch,Focus Punch,Sweet Kiss,Thunder Wave
Raichu,Petaya Berry,Thunderbolt,Focus Blast,Signal Beam,Nasty Plot
Raichu,Bright Powder,Volt Tackle,Return,Brick Break,Thunder Wave
Nidoqueen,Payapa Berry,Earthquake,Poison Fang,Aerial Ace,Charm
Nidoqueen,Scope Lens,Poison Jab,Fire Punch,Thunder Punch,Ice Punch
Nidoqueen,Black Sludge,Sludge Bomb,Earth Power,Flamethrower,Ice Beam
Nidoqueen,Razor Claw,Earthquake,Poison Jab,Superpower,Crunch
Nidoking,Focus Band,Earthquake,Poison Jab,Double Kick,Counter
Nidoking,Bright Powder,Focus Punch,Dragon Pulse,Horn Drill,Substitute
Nidoking,Expert Belt,Earth Power,Sludge Bomb,Ice Beam,Shadow Ball
Nidoking,Muscle Band,Earthquake,Poison Jab,Megahorn,Outrage
Ninetales,Bright Powder,Fire Blast,Solar Beam,Attract,Sunny Day
Ninetales,White Herb,Overheat,Dark Pulse,Nasty Plot,Confuse Ray
Ninetales,Wide Lens,Heat Wave,Ominous Wind,Dream Eater,Hypnosis
Ninetales,Passho Berry,Flamethrower,Extrasensory,Energy Ball,Calm Mind
Vileplume,Big Root,Giga Drain,Sludge Bomb,Sleep Powder,Ingrain
Vileplume,Black Sludge,Toxic,Grass Knot,Double Team,Attract
Vileplume,Lum Berry,Seed Bomb,Drain Punch,Frustration,Swords Dance
Vileplume,Wise Glasses,Sludge Bomb,Energy Ball,Hyper Beam,Synthesis
Dugtrio,Grip Claw,Earthquake,Rock Slide,Astonish,Sand Tomb
Dugtrio,Lax Incense,Earth Power,Sludge Bomb,Tri Attack,Sandstorm
Dugtrio,Razor Claw,Fissure,Giga Impact,Aerial Ace,Night Slash
Dugtrio,Muscle Band,Earthquake,Stone Edge,Slash,Shadow Claw
Golduck,Rindo Berry,Surf,Psychic,Confuse Ray,Calm Mind
Golduck,Shell Bell,Waterfall,Mud Bomb,Shadow Claw,Aerial Ace
Golduck,Scope Lens,Aqua Tail,Cross Chop,Ice Punch,Zen Headbutt
Golduck,Wacan Berry,Hydro Pump,Psychic,Ice Beam,Signal Beam
Arcanine,Lum Berry,Fire Fang,Extreme Speed,Crunch,Will-O-Wisp
Arcanine,Salac Berry,Flare Blitz,Thunder Fang,Reversal,Endure
Arcanine,White Herb,Overheat,Solar Beam,Dragon Pulse,Sunny Day
Arcanine,Focus Band,Flare Blitz,Extreme Speed,Crunch,Thunder Fang
Poliwrath,Rindo Berry,Surf,Vacuum Wave,Psychic,Double Team
Poliwrath,Lax Incense,Waterfall,Dynamic Punch,Poison Jab,Bulk Up
Poliwrath,Wide Lens,Hydro Pump,Focus Blast,Blizzard,Mud Bomb
Poliwrath,Expert Belt,Waterfall,Focus Punch,Earthquake,Hypnosis
Alakazam,Bright Powder,Psychic,Shadow Ball,Calm Mind,Future Sight
Alakazam,Colbur Berry,Psychic,Focus Blast,Charge Beam,Recover
Alakazam,Wise Glasses,Psychic,Charge Beam,Signal Beam,Grass Knot
Alakazam,Expert Belt,Psychic,Shadow Ball,Energy Ball,Focus Blast
Machamp,Scope Lens,Cross Chop,Earthquake,Bullet Punch,Foresight
Machamp,Focus Sash,Revenge,Earthquake,Payback,Counter
Machamp,Quick Claw,Dynamic Punch,Earthquake,Stone Edge,Ice Punch
